,pc,ld,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,ma,pred
38,4,185.6,52.5,4.8,84.0,13.676,112.0455,14.1576,180.8415,8.6144,199.78686732152738,10.496,155.253,15.6784,126.756,12.1048,143.472,1,0
39,2,147.02,105.0,4.0,126.0,14.2512,130.326,12.5072,198.3975,9.272,208.4145,9.4288,150.444,15.892,138.4005,12.52185326061181,168.5308173850917,0,1
40,2,121.49,52.5,4.0,178.5,15.4136,122.2305,13.7392,184.191,9.0912,199.78686732152738,9.204,128.4255,17.0368,118.3665,12.5688,166.8975,0,1
41,1,132.71,115.5,0.8,10.5,14.4208,118.65,13.7536,183.8943132959058,8.7984,194.754,8.2536,176.3895,14.5824,120.435,13.1568,177.45,3,0
42,2,135.3,84.0,4.0,94.5,13.7432,118.5975,14.86,173.8065,8.5352,190.806,10.0216,152.397,15.3032,125.8635,11.884,160.398,0,0
43,3,83.04,73.5,7.2,73.5,15.9408,126.483,14.0128,181.4085,9.2752,187.992,8.7744,168.0,13.524,115.7835,13.204,150.885,3,0
44,3,154.85,73.5,8.0,105.0,15.4608,120.0045,13.69768284260269,195.5415,8.8864,199.78686732152738,9.524,193.5255,15.334764208456244,132.174,12.0312,197.9565,3,0
45,0,120.09,10.5,8.8,84.0,13.4152,141.519,14.6056,177.1875,11.096,216.1005,9.143454445837396,171.0555,15.7088,114.345,12.6448,168.5308173850917,2,0
46,0,123.72,42.0,2.4,115.5,13.3232,121.0755,15.1,186.123,10.1144,202.7865,9.9264,160.9965,15.334764208456244,116.9175,12.1376,174.384,2,0
47,0,168.94,84.0,8.0,94.5,14.696,112.434,12.4416,164.2515,8.5576,204.2985,8.436,184.6005,16.0936,121.1385,13.2032,153.783,2,0
48,0,149.13,31.5,5.6,115.5,14.2056,117.7575,13.69768284260269,185.472,10.188,212.499,10.6424,143.598,15.1632,143.4825,13.2784,183.162,2,0
49,2,317.99,168.0,8.8,63.0,15.4232,121.4535,12.7568,199.1115,8.0736,192.57,8.6752,154.1295,16.2464,86.9715,12.8368,152.1555,0,1
50,1,117.4,31.5,4.0,115.5,14.3912,136.2585,13.452,190.68,9.1504,216.111,11.052,187.782,16.7624,138.495,12.824,185.3565,3,0
51,0,104.92,52.5,8.0,10.5,15.6592,116.1615,14.8688,190.302,10.2048,185.9235,8.5328,156.5865,16.7392,138.8415,12.128,140.679,2,1
52,0,130.82,73.5,7.2,42.0,12.4464,131.1345,14.1736,180.1275,10.308,201.768,9.632,163.632,13.7896,99.183,12.6456,188.034,2,0
53,1,113.67,105.0,8.0,42.0,15.3128,139.6185,13.78,187.0365,9.9944,186.417,9.143454445837396,165.2805,13.444,122.031,12.0888,170.877,3,0
54,1,92.58,189.0,0.8,31.5,15.3944,145.782,12.8936,185.43,10.0488,194.229,8.6928,181.7025,15.3592,126.63,12.2904,168.5308173850917,3,1
55,4,130.28,52.5,14.4,73.5,14.2464,124.656,12.4912,189.2835,8.2232,185.01,9.0096,170.814,15.528,98.3955,13.2872,168.5308173850917,1,0
56,2,123.29,42.0,5.6,42.0,15.3584,112.0665,14.9544,169.491,9.5592,187.992,8.788,173.1345,14.616,111.7095,12.4648,173.733,0,1
57,1,92.8,147.0,4.0,63.0,14.776,119.9205,13.6488,182.28,10.4664,198.4185,8.5856,174.9195,15.876,135.324,12.2336,168.5308173850917,3,0
58,2,133.55,63.0,6.4,73.5,14.2936,123.3645,13.1536,186.1125,9.6624,198.2715,8.2832,169.2395625349097,14.1704,134.5995,11.3504,170.226,0,0
59,4,200.5,84.0,5.6,105.0,14.1784,124.7505,12.0808,191.2155,8.3696,197.5155,9.143454445837396,211.1025,15.264,131.208,12.5424,168.5308173850917,1,1
60,4,156.38,52.5,6.4,94.5,14.2992,148.0395,14.4464,178.605,9.4424,193.452,9.6368,179.9805,16.2512,105.105,12.8056,182.4795,1,0
61,2,128.28,73.5,12.0,73.5,14.052,113.0955,13.6424,182.259,9.4872,194.502,10.072,154.329,17.4104,137.4345,11.4824,150.276,0,1
62,3,189.5,94.5,8.0,63.0,13.6672,121.968,13.6432,187.551,10.2408,204.75,9.7728,161.5425,15.334764208456244,140.385,11.9016,198.786,3,1
63,4,125.96,73.5,6.4,115.5,14.8696,134.022,14.7944,189.0315,8.9472,204.6765,9.2648,190.428,15.7488,125.0655,13.08,178.332,1,0
64,2,81.46,126.0,9.6,42.0,15.4136,148.2705,12.8784,185.325,8.8344,190.8795,9.8088,157.0905,14.912,118.3035,13.3264,161.7315,0,0
65,4,147.27,105.0,4.8,31.5,13.5864,116.0565,13.3032,202.986,9.3128,194.2815,8.3304,196.9695,14.7152,136.4265,12.6392,175.77,1,1
66,3,147.8,63.0,16.0,84.0,14.241585379434216,99.036,13.4568,178.1955,9.6744,194.3655,9.3488,170.0475,13.904,103.551,12.7096,177.5865,3,0
67,2,228.93,84.0,7.2,52.5,13.6,123.06,13.0024,188.8845,9.6552,202.1775,8.9416,187.7925,14.592,121.905,13.5096,168.5308173850917,0,1
68,4,99.65,115.5,4.0,94.5,15.9408,121.6845,13.6104,177.5865,8.8632,221.97,9.9424,176.589,14.8512,123.396,12.6288,190.6695,1,0
69,1,118.01,73.5,4.0,42.0,14.1952,144.3225,12.6256,173.754,8.5048,204.75,7.1336,171.717,17.908,124.6875,12.4496,189.8715,3,0
70,2,82.79,42.0,6.4,73.5,13.9352,110.376,14.7712,167.958,8.3544,183.267,8.3512,162.7605,12.4792,111.7305,12.52185326061181,165.4275,0,0
71,3,207.86,94.5,8.8,21.0,15.3016,107.436,14.2848,175.161,9.6144,204.456,7.7936,155.946,15.3088,118.755,12.9768,150.3285,3,0
72,3,117.37,42.0,9.6,84.0,14.5688,108.801,14.136,200.235,9.5496,200.6025,9.2384,165.7635,13.8728,87.129,13.7048,202.062,3,0
73,2,118.77,10.5,7.2,31.5,14.3816,126.2205,14.8512,180.831,8.9872,212.184,8.344,165.8895,14.264,121.149,12.7144,155.925,0,0
74,2,151.42,21.0,4.8,115.5,13.8056,139.167,13.8216,193.1265,10.964,212.4045,9.5584,175.0875,13.7928,126.063,12.7872,180.4845,0,1
75,1,119.25,52.5,3.2,73.5,14.8816,132.825,14.216,176.1795,9.5416,194.9745,8.6672,173.733,16.7688,173.334,14.3272,159.306,3,0
76,4,102.17,94.5,8.8,94.5,14.8576,121.884,13.0544,182.7,10.1352,202.8285,8.5776,169.2395625349097,15.796,115.962,13.2272,179.4345,1,0
77,2,125.11,73.5,1.6,31.5,12.7096,142.359,13.7248,191.9085,10.1432,197.652,9.6168,179.403,13.3232,115.5105,14.5688,165.9105,0,0
78,0,117.81,63.0,11.2,21.0,13.5968,114.975,13.336,183.8943132959058,8.0888,182.952,8.6896,187.4565,16.3448,107.289,11.6672,169.9215,2,0
79,3,176.27,63.0,14.4,52.5,14.8744,120.54,12.8504,189.483,8.5168,195.2055,9.2808,178.4895,14.1336,110.8275,12.1328,172.83,3,0
80,4,164.34,147.0,6.4,94.5,14.4016,118.356,14.5288,184.3275,10.4264,192.1185,9.0,151.0635,14.7728,132.174,12.2024,152.901,1,0
81,3,135.52,73.5,7.2,126.0,14.5688,132.6255,13.2568,183.8943132959058,10.0848,192.822,9.5936,166.0995,14.8888,103.845,12.464,165.039,3,1
82,4,149.85,63.0,10.4,63.0,13.7896,133.77,12.5224,201.6525,10.8288,201.117,9.888,165.963,16.02,130.284,11.3664,135.639,1,0
83,0,157.68,73.5,7.2,105.0,14.9792,132.8355,15.0248,187.4985,8.868,211.323,9.804,166.7085,13.76,104.622,11.8992,169.428,2,0
84,4,101.04,84.0,8.8,21.0,15.4048,120.183,13.8032,194.67,9.9528,204.9495,8.6592,175.6335,15.8968,102.543,11.9112,173.607,1,0
85,1,155.57,105.0,1.6,42.0,14.8608,131.4285,14.6736,187.3305,9.3176,209.601,8.5576,169.2395625349097,14.9832,140.343,13.7896,153.0795,3,0
86,3,129.08,115.5,9.6,126.0,14.88,115.2795,15.5112,200.9805,8.5448,196.938,8.432,174.1635,15.334764208456244,150.0765,14.7456,145.2465,3,0
87,1,153.37,94.5,3.2,21.0,14.116,144.984,14.4664,183.519,9.380174600844192,212.0895,9.143454445837396,170.247,14.5648,143.7135,12.52185326061181,168.5308173850917,3,1
88,3,139.38,52.5,4.8,73.5,13.756,105.294,13.0808,189.693,9.5232,180.663,9.0416,180.432,13.5304,119.8785,13.4184,170.961,3,0
89,2,259.65,84.0,8.8,94.5,14.9672,120.834,12.5384,182.0805,9.380174600844192,193.578,10.5328,174.909,13.3248,140.994,13.4552,175.8855,0,1
90,4,98.52,42.0,14.4,52.5,13.6392,120.078,13.7264,171.822,9.6752,215.4285,8.396,175.4025,15.6024,91.287,12.7552,159.6945,1,0
91,4,123.16,52.5,7.2,126.0,13.836,120.75,13.3552,188.811,9.7952,210.504,9.352,186.291,13.7576,92.7465,13.052,156.2085,1,0
92,3,110.09,52.5,7.2,52.5,14.3072,107.667,13.8568,189.3045,9.7376,202.9965,8.304,172.8195,14.9936,144.6165,12.4344,219.513,3,0
93,2,138.24,21.0,3.2,42.0,15.4792,134.169,13.5584,185.598,9.6496,179.445,8.3344,170.52,13.0744,146.1075,16.1736,175.434,0,0
94,4,158.34,105.0,7.2,42.0,14.3128,130.9875,13.7344,200.5395,10.324,200.844,8.5096,155.463,15.8176,117.663,12.7952,157.9935,1,0
95,4,144.83,105.0,4.8,52.5,14.5432,125.0235,15.0288,190.806,8.7928,210.483,10.0656,196.203,17.6008,138.1695,13.3784,168.5308173850917,1,0
96,0,111.75,21.0,12.8,21.0,13.172,123.2073365962834,13.4352,190.638,9.6904,190.911,9.616,186.942,16.5328,115.9725,14.024,162.918,2,0
97,2,102.48,94.5,6.4,126.0,14.0664,113.316,12.6264,171.4545,9.912,210.987,8.0992,180.39,13.9312,110.0715,13.3128,171.3285,0,0
98,1,66.84,136.5,2.4,10.5,14.2376,128.289,13.8944,185.7975,9.380174600844192,210.588,8.5944,173.397,16.6112,140.8785,12.8896,188.5275,3,0
99,2,121.18,63.0,7.2,31.5,13.316,118.818,13.3536,157.1745,7.9768,212.9925,11.6192,170.1105,16.9056,124.3515,10.4664,176.967,0,1
100,4,147.69,63.0,10.4,63.0,14.316,102.648,12.4928,196.812,8.7352,223.3245,7.7888,174.027,16.2968,131.901,12.4408,168.5308173850917,1,0
101,4,190.64,73.5,4.0,21.0,15.324,123.4905,13.788,174.3,8.7776,212.73,8.8088,149.226,15.888,106.5225,12.088,164.7135,1,0
102,1,112.7,168.0,4.8,63.0,14.1008,115.0065,14.408,190.2075,8.3848,196.9695,9.0168,157.206,16.6576,149.961,12.0104,152.3445,3,0
103,0,114.09,73.5,8.0,31.5,14.1256,139.1145,14.5408,172.599,9.1952,205.1175,9.6088,188.538,16.1968,106.3125,12.176,173.7225,2,0
104,2,125.06,42.0,2.4,115.5,13.9184,138.9045,12.6888,175.854,9.652,198.513,8.5912,168.714,14.824,134.2425,11.5248,174.027,0,0
105,1,108.45,115.5,4.0,21.0,14.584,125.0025,13.8376,195.9195,7.624,201.4215,9.22,169.4175,15.3272,129.507,13.8048,186.5325,3,1
106,0,131.84,73.5,4.8,42.0,13.424,145.257,12.9352,178.395,7.9112,177.1455,9.0496,178.2585,14.6808,95.6445,13.7888,147.1995,2,0
107,0,144.15,0.0,7.2,21.0,12.7184,133.0875,12.668,173.4705,9.9088,212.226,9.2632,132.8145,14.632,142.0755,12.6976,172.4415,2,0
108,0,201.17,31.5,4.8,73.5,14.8552,126.672,14.6504,177.3765,9.7952,198.3135,8.8072,152.691,14.7864,127.197,12.2728,174.6465,2,1
109,0,172.87,73.5,2.4,73.5,13.252,124.929,14.3776,185.745,9.0456,194.5965,9.143454445837396,173.25,16.6832,121.4955,12.8224,155.2005,2,1
110,0,148.05,52.5,8.8,10.5,14.7016,106.848,13.6488,207.417,10.1136,203.7315,8.74,155.6415,15.632,119.973,12.7456,194.796,2,1
111,3,131.25,84.0,8.0,21.0,15.1688,122.682,13.58,180.1275,8.7192,200.55,8.8216,168.6615,14.204,86.226,12.8872,216.7515,3,0
112,4,164.94,73.5,5.6,84.0,14.7344,126.1365,13.8616,198.8595,9.7016,200.5395,8.5216,183.2355,14.7176,147.6405,12.1024,187.3305,1,0
113,0,127.89390483856542,73.5,10.4,42.0,14.04,121.2015,13.088,179.3085,8.4504,198.492,9.42,153.321,14.0872,132.9615,11.4592,180.579,2,0
114,3,166.73,31.5,7.2,21.0,13.3,105.798,12.8312,200.865,8.8024,186.879,8.18,170.037,14.2328,108.927,10.932,168.5308173850917,3,0
115,3,87.86,84.0,7.2,84.0,14.2088,112.2135,12.8064,188.3805,10.168,204.309,9.3072,175.1715,16.1784,142.8525,12.4504,146.2125,3,0
116,4,126.74,115.5,4.0,31.5,13.4656,137.7285,14.7872,171.087,7.92,187.8555,8.5864,172.3995,15.8504,121.6215,12.0688,179.5815,1,0
117,4,126.02,63.0,6.4,73.5,13.9536,115.752,13.4416,185.22,10.712,206.304,9.2968,207.102,14.2016,113.1375,11.6168,177.24,1,0
118,1,141.24,73.5,5.6,52.5,13.6736,138.7155,12.9488,178.143,10.6848,207.963,9.5856,157.7625,12.6736,140.007,12.9016,170.1735,3,0
119,0,96.1,73.5,8.8,73.5,14.6448,108.654,13.8208,198.954,9.0712,186.627,9.2736,143.073,17.3656,106.8165,13.1648,164.7135,2,0
120,1,128.33,84.0,4.8,73.5,15.536,115.5945,13.1112,173.6175,8.6328,199.78686732152738,9.7656,174.867,16.3888,133.035,13.8496,168.5308173850917,3,0
121,2,116.4,63.0,4.0,84.0,14.2936,125.496,12.0568,183.498,9.6416,189.462,9.0024,169.2395625349097,17.152,124.1625,13.1008,183.4875,0,0
122,1,78.82,126.0,4.0,73.5,12.7712,126.252,13.4912,166.2255,8.036,187.3095,8.864,165.2805,15.334764208456244,134.127,11.8024,166.866,3,0
123,1,127.22,63.0,3.2,52.5,12.9432,116.781,13.6136,178.3005,9.2288,208.1415,8.9768,169.2395625349097,15.6488,110.439,12.04,182.301,3,1
124,4,96.85,63.0,11.2,63.0,12.9272,141.3615,13.792,190.89,10.1408,207.48,10.188,153.447,14.0584,114.156,11.6088,161.994,1,0
125,3,112.77,63.0,5.6,73.5,13.2024,110.3865,13.2568,172.893,9.0288,199.78686732152738,9.2696,178.2585,11.7904,132.237,11.76,178.92,3,0
126,1,155.41,126.0,2.4,21.0,14.5272,128.331,12.836,183.687,10.1256,197.4,8.676,152.4285,16.3352,149.184,12.5672,187.047,3,0
127,1,171.41,115.5,2.4,31.5,13.108,142.9155,14.4232,179.277,10.1096,180.7995,9.9096,162.2775,15.5176,127.4385,12.8728,168.252,3,0
128,0,311.28,84.0,4.0,94.5,14.3784,130.788,13.668,179.1615,9.008,182.4585,9.556,185.7135,16.2944,100.3065,11.032,168.5308173850917,2,1
129,0,160.5,42.0,8.8,94.5,13.3744,108.3705,12.7856,196.4655,9.2072,214.4205,9.1944,161.721,14.5952,110.2395,13.1152,151.6725,2,0
130,0,110.5,63.0,7.2,52.5,15.3648,111.993,12.2864,184.7265,9.5256,206.01,8.0288,138.033,14.6472,119.6265,13.1864,208.404,2,0
131,4,103.46,73.5,5.6,63.0,14.7184,117.0225,12.112,169.386,7.4872,212.919,9.9032,150.696,15.4576,102.4485,11.7552,175.2975,1,0
132,0,113.82,63.0,4.0,63.0,13.7472,119.2695,12.484,189.21,9.0536,208.95,10.3752,156.891,13.7936,111.321,12.2384,173.964,2,0
133,1,82.38,84.0,0.0,52.5,14.1312,121.4955,14.2232,186.1335,9.380174600844192,207.1755,8.7984,169.2395625349097,14.6016,119.364,12.4632,189.9555,3,0
134,3,158.64,84.0,4.8,73.5,13.744,118.524,14.8056,171.843,10.4992,195.972,9.932,190.1655,16.9064,150.9795,12.784,139.335,3,0
135,3,123.44,63.0,7.2,21.0,13.1024,136.4895,13.1392,183.8943132959058,9.4176,195.1845,9.6736,174.5205,14.1808,112.5285,14.7904,183.3195,3,0
136,1,191.18,52.5,3.2,126.0,15.2416,117.6945,13.6568,189.462,8.256,201.6,9.176,161.091,14.9368,135.8175,12.6376,143.472,3,0
137,1,140.99,94.5,2.4,31.5,15.128,139.6395,14.7424,187.362,8.2512,179.844,10.5576,195.8355,17.4072,127.827,11.7056,204.6555,3,1
138,3,103.64,63.0,4.8,115.5,16.2064,120.4035,13.9376,208.803,9.8224,193.8615,9.143454445837396,159.243,13.6688,119.658,13.6912,192.3285,3,0
139,2,93.27,157.5,11.2,84.0,13.5576,115.9305,12.412,172.599,8.38,194.7855,9.3288,174.9195,12.9968,130.326,13.4304,147.168,0,0
140,4,103.84,84.0,13.6,105.0,12.7736,132.3525,13.1072,183.8943132959058,10.6032,206.6925,9.143454445837396,184.1595,15.9272,176.778,13.4232,194.6175,1,1
141,0,110.48,84.0,6.4,84.0,14.241585379434216,137.7495,15.7192,188.8845,7.688,212.478,9.492,174.7725,17.0872,150.6225,11.2368,168.5308173850917,2,0
142,3,126.55,84.0,8.0,31.5,13.7352,129.612,13.5216,185.64,10.2144,202.8915,7.728,176.862,15.3008,108.066,12.4752,188.5695,3,0
143,0,112.76,21.0,9.6,42.0,14.4048,130.4835,14.0904,182.0175,9.3736,197.8095,8.5984,160.8075,13.0752,112.7805,12.5104,188.7585,2,0
144,2,133.83,42.0,10.4,52.5,13.9008,128.3205,12.7216,175.0875,9.9472,193.5255,10.268,116.319,17.7584,119.973,12.908,178.9515,0,0
145,1,93.04,168.0,4.0,84.0,14.4968,116.3505,13.4096,175.5285,10.584,204.7815,10.7832,169.6275,14.0488,112.896,11.1136,158.13,3,0
146,2,159.08,94.5,16.8,42.0,13.368,112.602,13.9312,198.5025,10.0592,192.969,8.4384,162.225,15.6752,128.6775,11.208,168.5308173850917,0,0
147,4,143.99,115.5,12.0,21.0,15.3776,113.2635,13.2664,175.413,8.9976,204.7185,8.0624,169.596,14.1696,99.0255,11.3752,185.8185,1,0
148,4,158.77,63.0,7.2,42.0,15.4336,125.853,13.476,188.5065,10.3408,192.423,8.6656,183.8025,15.836,106.8165,13.9024,170.5515,1,0
149,1,119.16,63.0,4.8,42.0,13.8464,123.2073365962834,14.0896,176.757,9.1656,201.1905,10.1576,159.516,15.4088,104.4015,12.8648,174.342,3,1
150,3,136.93,126.0,4.0,42.0,13.6968,129.528,13.2048,192.2235,9.344,179.991,9.4464,169.7955,14.724,114.9435,12.52185326061181,168.5308173850917,3,0
151,1,125.49,115.5,3.2,63.0,13.4368,125.4435,12.9832,189.2835,9.1464,200.235,9.143454445837396,149.478,15.3336,119.4585,13.2984,150.759,3,0
152,4,157.71,52.5,4.0,73.5,14.0088,123.1545,13.8,173.4495,9.288,204.7395,9.3688,174.111,15.4688,105.8715,12.6352,173.2605,1,0
153,3,109.34,115.5,6.4,84.0,15.528,132.4155,13.3416,179.0355,9.2344,199.78686732152738,9.5672,160.335,17.008,129.2655,11.9928,164.1465,3,1
154,4,127.42,126.0,10.4,63.0,14.6512,129.381,15.556,194.775,9.4856,199.78686732152738,7.3616,180.054,16.1072,117.8415,11.648,185.1675,1,0
155,2,155.06,31.5,4.8,94.5,15.2432,111.027,12.1648,184.149,10.1272,163.4115,10.0184,147.7455,17.1128,114.597,12.4784,172.9665,0,0
156,1,121.37,147.0,2.4,73.5,14.796,117.033,13.6528,204.8235,10.8296,214.2945,9.044,171.381,14.4768,139.23,12.8488,162.813,3,0
157,3,119.51,105.0,5.6,73.5,14.9496,123.2073365962834,13.5056,183.078,8.2184,187.5615,8.7224,172.1895,12.328,122.86838824694618,14.2384,189.126,3,0
158,0,131.28,73.5,4.0,126.0,14.2104,108.3285,12.9936,184.9995,9.8952,181.7655,9.1152,181.272,14.1,126.0945,13.0152,130.242,2,0
159,1,96.29,126.0,2.4,31.5,14.7776,130.7565,14.42,171.7275,8.3416,200.3085,9.6584,161.2905,14.9992,130.347,12.616,150.15,3,0
160,1,104.69,115.5,2.4,42.0,14.0752,139.041,14.0672,186.249,9.0376,198.702,9.2544,174.678,15.0856,83.2125,12.5688,150.633,3,1
161,0,170.37,42.0,4.0,94.5,13.772,139.314,12.9368,201.4845,8.4832,197.2005,8.984,177.912,15.334764208456244,129.8955,13.0776,161.8575,2,1
162,0,80.68,115.5,3.2,73.5,14.404,108.759,12.9992,184.2225,9.380174600844192,198.8595,8.7736,142.674,13.7672,138.831,13.288,165.8265,2,0
163,4,206.6,94.5,10.4,94.5,13.936,142.506,13.8992,177.66,9.0232,184.5165,8.9896,207.417,15.3752,135.8805,11.4864,189.0945,1,0
164,3,182.0,42.0,6.4,73.5,13.5264,103.2465,14.3168,182.7525,10.9208,195.153,10.256,159.7785,16.264,123.459,12.7488,155.0535,3,0
165,3,90.24,84.0,12.8,136.5,14.1264,131.649,14.8976,172.662,9.6368,194.88,8.2968,151.7145,15.334764208456244,97.9545,12.0472,167.328,3,0
166,3,91.27,63.0,5.6,52.5,14.5536,122.3565,13.3504,169.428,9.6088,192.696,9.3888,190.9845,17.5928,136.9935,11.7008,165.984,3,0
167,2,80.56,52.5,9.6,52.5,14.7304,109.662,13.2208,176.1165,8.708,179.046,8.6448,170.289,16.3176,132.2265,11.0136,161.364,0,0
168,4,162.5,105.0,11.2,73.5,14.8368,114.1245,14.2232,183.8943132959058,9.64,194.9325,9.6312,173.271,14.832,143.808,11.8312,170.9715,1,0
169,3,108.95,31.5,3.2,21.0,13.9608,108.087,13.7432,189.5565,8.4976,223.3035,9.4248,162.4455,15.9144,112.9275,12.52185326061181,164.304,3,0
